Gene name,IAS-range,Accession Number,Uniprot ID,Referecne (PMID/uniprot),Protein Length,Domain,Domain-range,Comments,ENST,Canonical_Source,Protein name,Gene names,Protein length,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB, 
,,,Q63644,,,,,,,,"Rho-associated protein kinase 1 (EC 2.7.11.1) (Liver regeneration-related protein LRRG199) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p150 RhoA-binding kinase ROK beta) (p160 ROCK-1) (p160ROCK)",Rock1 Ac2-154,1369,Rattus norvegicus (Rat),949-1015(RBD domain);1133-1332(PH domain),"12778124, 10542285, 11815607, 8816443","Rho kinases (ROCKs) are serine/threonine kinases that are involved in many aspects of cell motility, from smooth-muscle contraction to cell migration and neurite outgrowth. ROCK2, one of ROCK isoforms, contains an N-terminal kinase domain, Rho-binding domain (RBD), and PH domain. RBD and PH domains interact with the catalytic kinase domain for autoinhibition. Rho binding to RBD relieves the autoinhibition. Since ROCK1 also contains the domains, ROCK1 may employ a similar autoinhibiton mechanism.",Annotated by sequence similarity,,,
,,,P70336,,,,,,,,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",Rock2,1388,Mus musculus (Mouse),971-1047(RBD domain);1150-1349(PH domain),"12778124, 105422805, 11815607, 8816443","Annotation was made based on sequence similarity with Rock2(Q62868, Rattus norvegicus). Rho kinases (ROCKs) are serine/threonine kinases that are involved in many aspects of cell motility, from smooth-muscle contraction to cell migration and neurite outgrowth. ROCK2 contains an N-terminal kinase domain, Rho-binding domain (RBD), and PH domain. RBD and PH domains interact with the catalytic kinase domain for autoinhibition. Rho binding to RBD relieves the autoinhibition.",Annotated by sequence similarity,,,
,,,Q9Z138,,,,,,,,"Tyrosine-protein kinase transmembrane receptor ROR2 (mROR2) (EC 2.7.10.1) (Neurotrophic tyrosine kinase, receptor-related 2)",Ror2,944,Mus musculus (Mouse),555-556(Tyrosine residue),22992069,"Annotation was made based on sequence similarity with ROR2(Q01974, Homo sapiens). Ror2 (receptor tyrosine kinase-like orphan receptor 2, an unconventional Wnt receptor) may be involved in the early formation of the chondrocytes and may be required for cartilage and growth plate development. The side chain of Tyr555, two positions from the gatekeeper residue at the end of strand ?5, occupies unusual position for inactive kinases, and occludes the predicted binding site for the ATP adenine ring. This ability of tyrosine residue to occlude the ATP-binding site may be a feature unique to Ror2.",Annotated by sequence similarity,,,
,,,Q63531,,,,,,,,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),Rps6ka1 Mapkapk1a Rsk1,735,Rattus norvegicus (Rat),691-706(?L helix),22683790,"Annotation was made based on sequence similarity with RPS6KA1(Q15418, Homo sapiens). RSK1 plays an important role in many cellular processes. RSK1 is expressed ubiquitously in almost all human tissues, predominantly in kidney, lung and pancreas.The crystal structure of human RSK1 C-terminal kinase domain (CTKD) is reported at 2.7 ? resolution. The structure indicates that the autoinhibition of the CTKD is caused by an ?-helix occupying the substrate-binding groove.The structure shows autoinhibition of RSK1 CTKD by its ?L helix, suggesting that ERK1/2 may activate RSK1 by phosphorylating RSK1 followed by the displacement of ?L from its inhibitory position. A similar regulatory mechanism has been observed previously in MAP KAP kinase 2  and murine RSK2 CTKD.  The atomic structure of human RSK1 CTKD is of great interest in order to understand the mechanism of RSK activation and for structure-based anticancer-drug development.",Annotated by sequence similarity,,,
,,,P18653,,,,,,,,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),Rps6ka1 Mapkapk1a Rsk1,724,Mus musculus (Mouse),680-695(?L helix),22683790,"Annotation was made based on sequence similarity with RPS6KA1(Q15418, Homo sapiens). RSK1 plays an important role in many cellular processes. RSK1 is expressed ubiquitously in almost all human tissues, predominantly in kidney, lung and pancreas.The crystal structure of human RSK1 C-terminal kinase domain (CTKD) is reported at 2.7 ? resolution. The structure indicates that the autoinhibition of the CTKD is caused by an ?-helix occupying the substrate-binding groove.The structure shows autoinhibition of RSK1 CTKD by its ?L helix, suggesting that ERK1/2 may activate RSK1 by phosphorylating RSK1 followed by the displacement of ?L from its inhibitory position. A similar regulatory mechanism has been observed previously in MAP KAP kinase 2  and murine RSK2 CTKD.  The atomic structure of human RSK1 CTKD is of great interest in order to understand the mechanism of RSK activation and for structure-based anticancer-drug development.",Annotated by sequence similarity,,,
,,,P18654,,,,,,,,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2),Rps6ka3 Mapkapk1b Rps6ka-rs1 Rsk2,740,Mus musculus (Mouse),697-712(Putative autoinhibitory alpha helix),"22683790, 24085294, 18084304","Annotation was made based on sequence similarity with RPS6KA3(P51812, Homo sapiens). The 90-kDa ribosomal S6 kinase 2 (RSK2) is broadly expressed in response to growth factors, peptide hormones, neurotransmitters, chemokines and other stimuli. The scaffold of the RSK2 CTD is stabilized by the ?L-helix, which occupies the ?radle, rather than by the T-loop. On the basis of this structure of the CTD of RSK2, ERKs are likely to be involved in abolishing the autoinhibitory function of the CTD. The ERKs binding site (residues 726735) is located at the RSK2 C terminus close to the ?L-helix (residues 696710). Efficient activation of RSK2 requires interaction with extracellular signal?egulated protein kinases (ERKs) at a docking site in the RSK2 C terminus (residues 726735) and subsequent phosphorylation of Thr577 in the CTD T-activation loop.",Annotated by sequence similarity,,,
,,,Q5R4K3,,,,,,,,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1),RPS6KA5,802,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),709-727(Putative autoinhibitory alpha helix),"12628924, 10428774","Annotation was made based on sequence similarity with RPS6KA5(O75582, Homo sapiens). Plays an essential role in the control of RELA transcriptional activity in response to TNF and upon glucocorticoid, associates in the cytoplasm with the glucocorticoid receptor NR3C1 and contributes to RELA inhibition and repression of inflammatory gene expression.In skeletal myoblasts is required for phosphorylation of RELA at 'Ser-276' during oxidative stress. In erythropoietin-stimulated cells, is necessary for the 'Ser-727' phosphorylation of STAT3 and regulation of its transcriptional potential",Annotated by sequence similarity,,,
,,,P67999,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),Rps6kb1,525,Rattus norvegicus (Rat),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,
,,,Q6TJY3,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1),RPS6KB1,527,Bos taurus (Bovine),424-527(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,
,,,P67998,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),RPS6KB1,525,Oryctolagus cuniculus (Rabbit),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,
,,,Q8BSK8,,,,,,,,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (S6K) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),Rps6kb1,525,Mus musculus (Mouse),424-525(Autoinhibitory domain),25903132,"Annotation was made based on sequence similarity with RPS6KB1(P23443, Homo sapiens). Phosphorylation of p70 Ribosomal S6 Kinase 1 (RPS6KB1) by cyclin-dependent kinase 5 (Cdk5) is required for dendritic spine morphogenesis in the neuron. There are four serine residues in the autoinhibition domain (424-525) in RPS6KB1. The phosphorylation of RPS6KB1 is stimulated by Cdk5 at residue Ser-422 enabling RPS6KB1 activation via neuronal activity and the neurotrophin BDNF.",Annotated by sequence similarity,,,
,,,B4QK53,,,,,,,,Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GD12112,769,Drosophila simulans (Fruit fly),318-380(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,,
,,,B3NE99,,,,,,,,Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GG13228,766,Drosophila erecta (Fruit fly),318-378(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,,
,,,B4IAQ8,,,,,,,,Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase SAK),SAK GM22133,769,Drosophila sechellia (Fruit fly),318-380(Linker 1 region),25646492,"Annotation was made based on sequence similarity with SAK(O97143, Drosophila melanogaster ). Polo-like kinase 4 (or serine/threonine-protein kinase) is a master regulator of centriole duplication. The linker region between kinase domain and PB1 domain is involved in autoinhibition by blocking the active site of the kinase domain. Phosphorylation of residues within the linker region relieves autoinhibition.",Annotated by sequence similarity,,,
,,,Q9X1X0,,,,,,,,Nuclease SbcCD subunit D,sbcD TM_1635,385,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),359-385(Flexible linker region),25077970,"Bacteriophage T4 Mre11 and Rad50 form a stable Mre11/Rad50 (MR) complex and work cooperatively in repairing DNA double-strand breaks. In the absence of Rad50, the C-terminal Rad50 binding domain (RBD, residues 308-339) of Mre11 is autoinhibited caused by the negatively charged linker (residues 290-339). Rad50 association and deletion of the C-terminus of Mre11 both enhance DNA binding and the nuclease activity of Mre11. The autoinhibitory region in nuclease SbcCD was annotated by sequence similarity of P04521.",Annotated by sequence similarity,,,
,,,Q12SA3,,,,,,,,Diguanylate cyclase/phosphodiesterase / histidine kinase (EC 2.7.3.-),Sden_0378,640,Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013),172-394(HAMP-GGDEF),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648) with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by releasing the S helix and the GGDEF domain, facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,,
