Protein name,Gene names,Protein length,Uniprot ID,Species,Autoinhibitory regions,References,Description (Refer to H and I),Evidence,Structure?,PDB
Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72Syk),Syk,629,Q64725,Rattus norvegicus (Rat),107-166(Interdomain A); 259-364(Interdomain B),"17936247, 19909371","Syk is non-receptor tyrosine kinase which mediates signal transduction downstream of a variety of transmembrane receptors including classical immunoreceptors like the B-cell receptor (BCR). Upon BCR crosslinking, Syk is recruited via its tandem SH2 domain to tyrosine-phosphorylated Ig-?/Ig-? constituting components of BCR, and intimately cooperates with the signaling subunits of the BCR and plays a central role in the amplification and diversification of BCR signals.  Syk has two linkers called interdomains that regulate conformations of SYK: interdomain A (SH2-SH2), interdomain B (SH2-Protein Kinase). The interdomain interaction of A and B maintains the kinase domain inactive. The interdomain A and B were annotated by sequence similarity with human Syk.",Annotated by sequence similarity,,
Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase),Syk ptk72 Sykb,629,P48025,Mus musculus (Mouse),107-166(Interdomain A); 259-364(Interdomain B),"17936247, 19909371","Syk is non-receptor tyrosine kinase which mediates signal transduction downstream of a variety of transmembrane receptors including classical immunoreceptors like the B-cell receptor (BCR). Upon BCR crosslinking, Syk is recruited via its tandem SH2 domain to tyrosine-phosphorylated Ig-?/Ig-? constituting components of BCR, and intimately cooperates with the signaling subunits of the BCR and plays a central role in the amplification and diversification of BCR signals.  Syk has two linkers called interdomains that regulate conformations of SYK: interdomain A (SH2-SH2), interdomain B (SH2-Protein Kinase). The interdomain interaction of A and B maintains the kinase domain inactive. The interdomain A and B were annotated by sequence similarity with human Syk.",Annotated by sequence similarity,,
Tyrosine-protein kinase SYK (EC 2.7.10.2),SYK RCJMB04_19o18,613,F1N9Y5,Gallus gallus (Chicken),107-166(Interdomain A); 259-348(Interdomain B),"17936247, 19909371","Syk is non-receptor tyrosine kinase which mediates signal transduction downstream of a variety of transmembrane receptors including classical immunoreceptors like the B-cell receptor (BCR). Upon BCR crosslinking, Syk is recruited via its tandem SH2 domain to tyrosine-phosphorylated Ig-?/Ig-? constituting components of BCR, and intimately cooperates with the signaling subunits of the BCR and plays a central role in the amplification and diversification of BCR signals.  Syk has two linkers called interdomains that regulate conformations of SYK: interdomain A (SH2-SH2), interdomain B (SH2-Protein Kinase). The interdomain interaction of A and B maintains the kinase domain inactive. The interdomain A and B were annotated by sequence similarity with human Syk.",Annotated by sequence similarity,,
TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit),TBP TFIID,318,P53360,Mesocricetus auratus (Golden hamster),10-67(TAF1 TAND domain),12419230,"Annotation was made based on sequence similarity with TBP(P20226, Homo sapiens). The TATA binding protein (TBP) is required for the expression of nearly all genes and is highly regulated both positively and negatively. Autoinhibition of TBP through dimerization contributes to transcriptional repression, even at repressive subtelomeric regions.",Annotated by sequence similarity,,
Diguanylate cyclase/phosphodiesterase,Tcr_0208,645,Q31J69,Hydrogenovibrio crunogenus (strain DSM 25203 / XCL-2) (Thiomicrospira crunogena),172-399(HAMP-GGDEF),21304926,"Bis-(39-59) cyclic dimeric guanosine monophosphate (c-d-GMP) is a monocyclic RNA dinucleotide controlling biofilm formation via a transmembrane receptor LapD, a periplasmic cysteine protease LapG, and surface adhesin protein LapA depending on the level of phosphate in the medium. When the phosphate level is low, LapD is held in the “off” state by interactions of their EAL domain (LapD 399-648), with the S helix (LapD 171-238) and the GGDEF domain (LapD 238-399), which allows the proteolytic reaction of LapA on the cell surface, and consequently biofilm dispersal. Interaction of c-d-GMP to the phosphodiesterase binding site on the EAL domain is required to stimulate the receptor (LapD) by release the S helix and the GGDEF domain facilitating the formation of a trans-subunit dimer interface, the binding of LapG to LapD’s output domain, and consequently permitting the activation of LapA to form biofilm. ",Annotated by sequence similarity,,
Talin-2,TLN2 KIAA0320,2542,Q9Y4G6,Homo sapiens (Human),1656-2345(C-terminal rod domain),18614051,"Talin-2, a FERM domain-containing protein, forms a direct link between integrin adhesion receptors and the actin cytoskeleton and is an important regulator of integrin function. In human Talin-1 (Q9Y490), the PTB domain within F3 (FERM) domain is responsible for binding to integrin. A segment in the C-terminal rod domain (Talin-R) interacts with the F3 domain for autoinhibition.",Annotated by sequence similarity,,
Cellular tumor antigen p53 (Tumor suppressor p53),TP53,393,P13481,Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops),363-393(Basic residue),8654922,"Annotation was made based on sequence similarity with TP53(P04637, Homo sapiens). p53 protein has the function encompassing the amino-terminal domain containing the activation domain, the central core containing its sequence-specific DNA-binding domain, and the multifunctional carboxy-terminal domain.The central core of p53 lies within residues 100-300, and the carboxyl terminus of p53 lies within residues 300-393. DNA-binding domain of the NF-KB p50 homodimer. The carboxyl terminus of p53 can function as an autonomous domain capable of binding nonspecifically to different forms of DNA, including damaged DNA  and reannealing complementary single strands of DNA or RNA The carboxyl terminus can be subdivided further into three regions, a flexible linker (residues 300--320) that connects the DNA-binding domain to the tetramerization domain, the tetramerization domain itself (residues 320-360), and, at the extreme carboxyl terminus, a stretch of 30 amino acids that is rich in basic residues (residues 363-393).The tetramerization region contains a B-sheet-turn-a-helix motif that can homodimerize, and that the p53 tetramer contains a pair of such dimers.",Annotated by sequence similarity,,
Cellular tumor antigen p53 (Tumor suppressor p53),TP53 P53,393,P56423,Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey),363-393(Basic residue),8654922,"Annotation was made based on sequence similarity with TP53(P04637, Homo sapiens). p53 protein has the function encompassing the amino-terminal domain containing the activation domain, the central core containing its sequence-specific DNA-binding domain, and the multifunctional carboxy-terminal domain.The central core of p53 lies within residues 100-300, and the carboxyl terminus of p53 lies within residues 300-393. DNA-binding domain of the NF-KB p50 homodimer. The carboxyl terminus of p53 can function as an autonomous domain capable of binding nonspecifically to different forms of DNA, including damaged DNA  and reannealing complementary single strands of DNA or RNA The carboxyl terminus can be subdivided further into three regions, a flexible linker (residues 300--320) that connects the DNA-binding domain to the tetramerization domain, the tetramerization domain itself (residues 320-360), and, at the extreme carboxyl terminus, a stretch of 30 amino acids that is rich in basic residues (residues 363-393).The tetramerization region contains a B-sheet-turn-a-helix motif that can homodimerize, and that the p53 tetramer contains a pair of such dimers.",Annotated by sequence similarity,,
Cellular tumor antigen p53 (Tumor suppressor p53),TP53 P53,393,P61260,Macaca fuscata fuscata (Japanese macaque),363-393(Basic residue),8654922,"Annotation was made based on sequence similarity with TP53(P04637, Homo sapiens). p53 protein has the function encompassing the amino-terminal domain containing the activation domain, the central core containing its sequence-specific DNA-binding domain, and the multifunctional carboxy-terminal domain.The central core of p53 lies within residues 100-300, and the carboxyl terminus of p53 lies within residues 300-393. DNA-binding domain of the NF-KB p50 homodimer. The carboxyl terminus of p53 can function as an autonomous domain capable of binding nonspecifically to different forms of DNA, including damaged DNA  and reannealing complementary single strands of DNA or RNA The carboxyl terminus can be subdivided further into three regions, a flexible linker (residues 300--320) that connects the DNA-binding domain to the tetramerization domain, the tetramerization domain itself (residues 320-360), and, at the extreme carboxyl terminus, a stretch of 30 amino acids that is rich in basic residues (residues 363-393).The tetramerization region contains a B-sheet-turn-a-helix motif that can homodimerize, and that the p53 tetramer contains a pair of such dimers.",Annotated by sequence similarity,,
Cellular tumor antigen p53 (Tumor suppressor p53),TP53 P53,393,P56424,Macaca mulatta (Rhesus macaque),363-393(Basic residue),8654922,"Annotation was made based on sequence similarity with TP53(P04637, Homo sapiens). p53 protein has the function encompassing the amino-terminal domain containing the activation domain, the central core containing its sequence-specific DNA-binding domain, and the multifunctional carboxy-terminal domain.The central core of p53 lies within residues 100-300, and the carboxyl terminus of p53 lies within residues 300-393. DNA-binding domain of the NF-KB p50 homodimer. The carboxyl terminus of p53 can function as an autonomous domain capable of binding nonspecifically to different forms of DNA, including damaged DNA  and reannealing complementary single strands of DNA or RNA The carboxyl terminus can be subdivided further into three regions, a flexible linker (residues 300--320) that connects the DNA-binding domain to the tetramerization domain, the tetramerization domain itself (residues 320-360), and, at the extreme carboxyl terminus, a stretch of 30 amino acids that is rich in basic residues (residues 363-393).The tetramerization region contains a B-sheet-turn-a-helix motif that can homodimerize, and that the p53 tetramer contains a pair of such dimers.",Annotated by sequence similarity,,
Cellular tumor antigen p53 (Tumor suppressor p53),TP53 P53,393,Q9TTA1,Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri),363-393(Basic residue),8654922,"Annotation was made based on sequence similarity with TP53(P04637, Homo sapiens). p53 protein has the function encompassing the amino-terminal domain containing the activation domain, the central core containing its sequence-specific DNA-binding domain, and the multifunctional carboxy-terminal domain.The central core of p53 lies within residues 100-300, and the carboxyl terminus of p53 lies within residues 300-393. DNA-binding domain of the NF-KB p50 homodimer. The carboxyl terminus of p53 can function as an autonomous domain capable of binding nonspecifically to different forms of DNA, including damaged DNA  and reannealing complementary single strands of DNA or RNA The carboxyl terminus can be subdivided further into three regions, a flexible linker (residues 300--320) that connects the DNA-binding domain to the tetramerization domain, the tetramerization domain itself (residues 320-360), and, at the extreme carboxyl terminus, a stretch of 30 amino acids that is rich in basic residues (residues 363-393).The tetramerization region contains a B-sheet-turn-a-helix motif that can homodimerize, and that the p53 tetramer contains a pair of such dimers.",Annotated by sequence similarity,,
TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6),TRAF6,522,B6CJY5,Macaca mulatta (Rhesus macaque),1-273(RZ domain);346-522(MATH domain),20512936,"Annotation was made based on sequence similarity with TRAF6(Q9Y4K3, Homo sapiens). TRAF-regulated transcription factors are NF-kB, which is activated by IkB kinase (IKK) modification and subsequent proteasomal degradation of the inhibitory IkB protein. TRAF6 is autoinhibited by an intramolecular interaction between the RING-Zinc (RZ) region and MATH domain. RING-Zinc fingers region and the MATH domain are targets for ubiquitination. Although TRAF6 ubiquitination has emerged as a hallmark of activation, trans-ubiquitination induced by two TRAF6 muteins is insufficient for NF-?B activation.",Annotated by sequence similarity,,
